	Sites	Long	Lat	Strata	Random/Targeted	Primary/Alternate		coarse%	fine%	Total %Organic	Total %Carbonate	Total %Terrigenous	
0	IB04	-170.68252449200	-14.29077203150	inner	random 	Primary  	IB04	96.90373023	3.096269766	3.649489151	31.97047631	64.38003454	100
1	IB05	-170.68258119300	-14.29135192020	inner	random 	Primary  	IB05	90.86066952	9.139330479	4.190185332	30.86047864	64.94933602	100
2	IB06	-170.68282164800	-14.29113152250	inner	random 	Primary  	IB06	98.71370187	1.286298129	3.882555388	81.67735714	14.44008747	100
3	CH07	-170.67920617000	-14.28971269050	channel	random 	Primary  	CH07	88.00201969	11.99798031	4.656399899	82.46730624	12.87629387	100
4	CH08	-170.68081888000	-14.29091257170	channel	random 	Primary  	CH08	75.55344323	24.44655677	5.106060985	77.35784326	17.53609576	100
5	CH09	-170.67787808800	-14.28972576440	channel	random 	Primary  	CH09	73.92544908	26.07455092	4.963033762	82.0133458	13.02362044	100
6	SB10	-170.68038141200	-14.29263031240	south	random 	Primary  	SB10	91.81209976	8.187900239	4.43255519	85.77346196	9.793982855	100
7	SB11	-170.67883654400	-14.29258359860	south	random 	Primary  	SB11	94.90314369	5.096856315	3.87746152	88.34616907	7.776369412	100
8	SB12	-170.68030726100	-14.29208138630	south	random 	Primary  	SB12	90.14725074	9.852749265	4.28994371	86.80126994	8.90878635	100
9	NB13	-170.68084915900	-14.28922468510	north	random 	Primary  	NB13	97.73772518	2.262274818	3.858319245	83.53786515	12.6038156	100
10	NB14	-170.68209029500	-14.29042696860	north	random 	Primary  	NB14	95.92480207	4.075197928	4.001067478	79.7269825	16.27195003	100
11	NB15	-170.68156183900	-14.28982158790	north	random 	Primary  	NB15	97.9426589	2.057341096	3.927004912	80.64021412	15.43278096	100
