,LBJ_Q,LBJ_Q_filled,LBJ_Q_combined,SSY_meas,SSY_pred_pre,SSY_pred_post,SSY_pred_combined,SSY_combined
2014-03-03,252.0,519.8266918449215,252.0,0.06054157400640394,0.4112889946680148,0.0,0.4112889946680148,0.06054157400640394
2014-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-06,4143.0,3885.586887982321,4143.0,0.0,18.97125777280273,0.0,18.97125777280273,18.97125777280273
2014-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-13,1083.0,745.1645352932994,1083.0,0.0,3.2062971669961344,0.0,3.2062971669961344,3.2062971669961344
2014-03-14,3083.0,3085.4288975892377,3083.0,0.0,11.375512381929413,0.0,11.375512381929413,11.375512381929413
2014-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-23,288.00000000000006,479.14069233340877,288.00000000000006,0.0,0.49639184703462697,0.0,0.49639184703462697,0.49639184703462697
2014-03-24,326.0,500.00530746751787,326.0,0.0,0.5910626265039692,0.0,0.5910626265039692,0.5910626265039692
2014-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-28,496.0,489.57299990046334,496.0,0.0,1.0674303465014647,0.0,1.0674303465014647,1.0674303465014647
2014-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,1601.9999999999998,557.3829990863178,1601.9999999999998,0.0,5.565250256681098,0.0,5.565250256681098,5.565250256681098
2014-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-06,4058.0,3269.7829665204977,4058.0,0.0,20.606132188859227,0.0,20.606132188859227,20.606132188859227
2014-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-08,907.0,664.8357670269795,907.0,0.0,2.497611627707469,0.0,2.497611627707469,2.497611627707469
2014-04-09,451.0,610.5877676782959,451.0,0.0,0.9336071906768757,0.0,0.9336071906768757,0.9336071906768757
2014-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-11,408.0,557.3829990863178,408.0,0.0,0.8107266508783342,0.0,0.8107266508783342,0.8107266508783342
2014-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-16,851.0,468.70838476635424,851.0,0.0,2.283193865589546,0.0,2.283193865589546,2.283193865589546
2014-04-17,862.0,1057.3883065538357,862.0,0.0,1.7631368439583197,0.0,1.7631368439583197,1.7631368439583197
2014-04-18,1886.0,906.8653025826447,1886.0,0.0,7.003465602040558,0.0,7.003465602040558,7.003465602040558
2014-04-19,2002.0,1329.671534053959,2002.0,0.0,5.808958650202327,0.0,5.808958650202327,5.808958650202327
2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-25,1886.0,880.7845336650084,1886.0,1.8137339235041052,7.003465602040558,0.0,7.003465602040558,1.8137339235041052
2014-04-26,451.0,610.5877676782959,451.0,0.28499928851707435,0.9336071906768757,0.0,0.9336071906768757,0.28499928851707435
