,Sed,SSY_spear_r,SSY_beta,Waves_spear_r,Waves_beta,SSY_pval,Waves_pval,r2adj
P1A,Total(gm2d),,-0.008,,8.119,0.851,0.005,0.69
P1B,Total(gm2d),,-0.169,-0.617,8.422,0.509,0.213,0.08
P1C,Total(gm2d),,-0.028,,5.120,0.373,0.009,0.53
P2A,Total(gm2d),,-0.005,,6.977,0.891,0.004,0.72
P2B,Total(gm2d),,-0.004,,0.552,0.739,0.337,-0.07
P2C,Total(gm2d),,-0.017,,3.325,0.378,0.006,0.57
P3A,Total(gm2d),,0.001,,0.472,0.741,0.032,0.53
P3B,Total(gm2d),,-0.001,-0.806,0.092,0.481,0.097,0.18
P3C,Total(gm2d),,0.000,,0.010,0.214,0.330,0.38
North_Pods,Total(gm2d),,-0.016,,5.782,0.469,0.000,0.80
South_Pods,Total(gm2d),,-0.001,,0.295,0.795,0.113,0.19
T1A,Total(gm2d),,0.296,0.600,56.571,0.320,0.007,0.81
T1B,Total(gm2d),,-1.676,,228.349,0.076,0.002,0.76
T1C,Total(gm2d),,0.423,0.973,74.883,0.257,0.002,0.81
T2A,Total(gm2d),,2.236,,27.357,0.077,0.321,0.72
T2B,Total(gm2d),,0.283,,3.925,0.056,0.564,0.49
T2C,Total(gm2d),,0.144,0.915,83.714,0.606,0.000,0.88
T3A,Total(gm2d),,0.614,0.900,44.914,0.447,0.281,0.26
T3B,Total(gm2d),,0.324,0.891,45.308,0.584,0.152,0.33
T3C,Total(gm2d),,-0.130,,14.225,0.149,0.008,0.49
North_Tubes,Total(gm2d),,-0.014,0.673,93.057,0.965,0.000,0.84
South_Tubes,Total(gm2d),,0.273,0.864,27.093,0.485,0.188,0.33
P1A,Total Terr(gm2d),,-0.008,,2.949,0.662,0.013,0.57
P1B,Total Terr(gm2d),,-0.081,-0.633,3.734,0.507,0.245,0.02
P1C,Total Terr(gm2d),,-0.010,,1.640,0.368,0.015,0.46
P2A,Total Terr(gm2d),,-0.002,,4.199,0.935,0.017,0.59
