,index,start,end,duration (hrs),sep from
132,132,2014-03-03 04:30:00,2014-03-03 08:45:00,4.25,LBJ PT
133,133,2014-03-06 13:15:00,2014-03-06 18:15:00,5.0,LBJ PT
134,134,2014-03-06 19:30:00,2014-03-07 12:30:00,17.0,LBJ PT
135,135,2014-03-13 10:30:00,2014-03-14 00:00:00,13.5,LBJ PT
136,136,2014-03-14 00:45:00,2014-03-14 13:15:00,12.5,LBJ PT
137,137,2014-03-14 18:00:00,2014-03-15 00:30:00,6.5,LBJ PT
138,138,2014-03-23 19:45:00,2014-03-24 02:45:00,7.0,LBJ PT
139,139,2014-03-24 06:30:00,2014-03-24 12:00:00,5.5,LBJ PT
140,140,2014-03-28 15:30:00,2014-03-28 22:45:00,7.25,LBJ PT
141,141,2014-04-01 08:15:00,2014-04-01 14:30:00,6.25,LBJ PT
142,142,2014-04-01 16:15:00,2014-04-01 23:00:00,6.75,LBJ PT
143,143,2014-04-06 10:00:00,2014-04-06 23:45:00,13.75,LBJ PT
144,144,2014-04-08 13:45:00,2014-04-09 00:45:00,11.0,LBJ PT
145,145,2014-04-09 20:45:00,2014-04-10 11:45:00,15.0,LBJ PT
146,146,2014-04-11 08:00:00,2014-04-11 18:45:00,10.75,LBJ PT
147,147,2014-04-16 15:30:00,2014-04-16 18:15:00,2.75,LBJ PT
148,148,2014-04-17 03:00:00,2014-04-17 13:00:00,10.0,LBJ PT
149,149,2014-04-17 14:00:00,2014-04-18 03:15:00,13.25,LBJ PT
150,150,2014-04-18 18:30:00,2014-04-19 04:45:00,10.25,LBJ PT
151,151,2014-04-19 05:45:00,2014-04-19 21:00:00,15.25,LBJ PT
152,152,2014-04-19 22:45:00,2014-04-20 15:45:00,17.0,LBJ PT
153,153,2014-04-25 12:00:00,2014-04-26 04:30:00,16.5,LBJ PT
154,154,2014-04-26 09:00:00,2014-04-26 21:45:00,12.75,LBJ PT
155,155,2014-04-27 09:00:00,2014-04-28 02:00:00,17.0,LBJ PT
156,156,2014-04-28 08:45:00,2014-04-28 15:30:00,6.75,LBJ PT
157,157,2014-04-28 16:45:00,2014-04-28 19:15:00,2.5,LBJ PT
158,158,2014-04-28 21:30:00,2014-04-29 13:30:00,16.0,LBJ PT
159,159,2014-04-29 19:30:00,2014-04-29 22:30:00,3.0,LBJ PT
160,160,2014-04-30 12:00:00,2014-05-01 10:30:00,22.5,LBJ PT
161,161,2014-05-19 03:15:00,2014-05-19 13:15:00,10.0,LBJ PT
162,162,2014-05-19 13:30:00,2014-05-19 21:00:00,7.5,LBJ PT
163,163,2014-05-20 01:00:00,2014-05-20 11:30:00,10.5,LBJ PT
164,164,2014-05-22 07:15:00,2014-05-23 02:30:00,19.25,LBJ PT
165,165,2014-05-23 08:15:00,2014-05-23 12:45:00,4.5,LBJ PT
166,166,2014-05-26 07:15:00,2014-05-26 16:45:00,9.5,LBJ PT
167,167,2014-05-29 12:45:00,2014-05-30 00:15:00,11.5,LBJ PT
168,168,2014-06-03 18:45:00,2014-06-04 06:30:00,11.75,LBJ PT
169,169,2014-06-05 19:00:00,2014-06-06 19:45:00,24.75,LBJ PT
170,170,2014-06-16 05:15:00,2014-06-16 13:30:00,8.25,LBJ PT
171,171,2014-06-16 19:45:00,2014-06-17 16:15:00,20.5,LBJ PT
172,172,2014-07-02 22:15:00,2014-07-04 01:30:00,27.25,LBJ PT
173,173,2014-07-05 06:00:00,2014-07-05 19:15:00,13.25,LBJ PT
174,174,2014-07-06 17:30:00,2014-07-07 04:45:00,11.25,LBJ PT
175,175,2014-07-09 10:45:00,2014-07-09 15:30:00,4.75,LBJ PT
176,176,2014-07-27 08:00:00,2014-07-27 13:45:00,5.75,LBJ PT
177,177,2014-07-29 06:00:00,2014-07-30 12:00:00,30.0,LBJ PT
178,178,2014-07-30 18:45:00,2014-07-31 13:15:00,18.5,LBJ PT
179,179,2014-07-31 15:30:00,2014-08-01 19:15:00,27.75,LBJ PT
180,180,2014-08-01 21:15:00,2014-08-01 23:45:00,2.5,LBJ PT
181,181,2014-08-02 13:15:00,2014-08-02 18:15:00,5.0,LBJ PT
182,182,2014-08-02 20:00:00,2014-08-03 12:45:00,16.75,LBJ PT
183,183,2014-08-06 08:15:00,2014-08-06 13:15:00,5.0,LBJ PT
184,184,2014-08-17 06:00:00,2014-08-17 15:15:00,9.25,LBJ PT
185,185,2014-08-23 06:30:00,2014-08-23 16:30:00,10.0,LBJ PT
186,186,2014-09-15 03:15:00,2014-09-15 13:30:00,10.25,LBJ PT
187,187,2014-10-14 09:00:00,2014-10-14 18:00:00,9.0,LBJ PT
188,188,2014-10-15 12:30:00,2014-10-16 11:15:00,22.75,LBJ PT
189,189,2014-11-01 23:00:00,2014-11-02 14:15:00,15.25,LBJ PT
190,190,2014-11-03 17:00:00,2014-11-04 16:45:00,23.75,LBJ PT
191,191,2014-11-10 04:00:00,2014-11-10 11:15:00,7.25,LBJ PT
192,192,2014-11-11 09:15:00,2014-11-11 21:15:00,12.0,LBJ PT
193,193,2014-11-12 05:45:00,2014-11-12 16:30:00,10.75,LBJ PT
194,194,2014-11-12 17:00:00,2014-11-13 06:00:00,13.0,LBJ PT
195,195,2014-11-15 23:45:00,2014-11-16 17:15:00,17.5,LBJ PT
196,196,2014-11-18 17:30:00,2014-11-19 06:15:00,12.75,LBJ PT
197,197,2014-11-19 13:45:00,2014-11-20 06:00:00,16.25,LBJ PT
