,%coarse,%fine,Area(m2),Coarse Carb(gm2d),Coarse Org(gm2d),Coarse Terr(gm2d),Coarse Terr+Org(gm2d),Coarse(%carb),Coarse(%organic),Coarse(%terr),Coarse(gm2d),Days deployed:,Fine Org(gm2d),Fine(%carb),Fine(%organic),Fine(%terr),Fine_Carb_gm2d,Fine_TerrOrg_gm2d,Fine_Terr_gm2d,Fine_gm2d,Lat,Lon,Mass Beaker,Mass Beaker + Sed,Mass Filter,Mass Filter + Sed,Mass Fine Fraction,Mass Sand Fraction,Month,Pod(P)/Tube(T),Precip,SSY,Total(%carb),Total(%organic),Total(%terr),Total(g),Total_Carb_gm2d,Total_Org_gm2d,Total_TerrOrg_gm2d,Total_Terr_gm2d,Total_gm2d,Waves,end,start
P1A,93.26699405531144,6.73300594468855,0.018241469247509915,8.024394055312653,0.5570045107126226,2.1114914339747246,2.668495944687347,75.04420278626876,5.209111014072178,19.746686199659067,10.69289,37.0,0.06503307584597323,49.796966161026575,8.424737456242564,41.77829638273086,0.38439772088681246,0.38753227911318755,0.3224992032672143,0.77193,-14.29018,-170.6814,69.312,76.529,1.741,2.262,0.5209999999999999,7.216999999999999,Mar_2014,P1A,374.396,66.12128005657135,73.34430484342161,5.425619333582486,21.230075822995897,7.737999999999999,8.408792530549569,0.6220374904804316,3.05602746945043,2.4339899789699984,11.46482,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P1B,94.12258606213268,5.877413937867324,0.018241469247509915,2.3482224639480815,0.3456009406895247,0.627976595362394,0.9735775360519188,70.69126569775668,10.404026151168784,18.904708151074537,3.3218,37.0,0.03024426409903715,56.82806052269583,14.580467675378273,28.5914718019259,0.11787844594222795,0.08955155405777204,0.05930728995873489,0.20743,-14.28941,-170.6796,70.332,72.574,1.745,1.885,0.1399999999999999,2.2420000000000044,Mar_2014,P1B,374.396,66.12128005657135,69.8764677445625,10.649492907419551,19.474039348017943,2.382000000000004,2.4661012625814234,0.3758450985365231,1.0631287374185767,0.6872836388820537,3.52923,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P1C,88.44537815126048,11.55462184873951,0.018241469247509915,1.8777560587004738,0.26381997337559465,0.35348396792393183,0.6173039412995265,75.25895404120436,10.57369255150556,14.167353407290078,2.49506,37.0,0.042849201877929365,69.27230046948273,13.14553990610178,17.58215962441549,0.2257999906103259,0.10016000938967409,0.057310807511744735,0.32596,-14.28833,-170.6779,68.287,69.971,1.76,1.98,0.21999999999999997,1.6839999999999975,Mar_2014,P1C,374.396,66.12128005657135,74.56721885959787,10.870859787855965,14.561921352546165,1.9039999999999975,2.1035561574730277,0.3066691287873743,0.717463842526972,0.41079471373959775,2.82102,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P2A,76.26678215677778,23.733217843222214,0.018241469247509915,2.303109958995401,0.49113317647059157,2.424046864534007,2.9151800410045987,44.13533856867673,9.411764705882417,46.45289672544085,5.21829,37.0,0.13297541471415253,24.19985941893182,8.188847235239031,67.61129334582915,0.39297183716026624,1.230888162839734,1.0979127481255813,1.62386,-14.29177,-170.6822,70.462,73.984,1.704,2.8,1.0959999999999999,3.5219999999999914,Mar_2014,P2A,374.396,66.12128005657135,39.404007873977626,9.121527038531799,51.47446508749057,4.6179999999999914,2.6960813247493602,0.6241085622669035,4.14606867525064,3.521960112983736,6.84215,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P2B,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29142,-170.6793,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Mar_2014,P2B,374.396,66.12128005657135,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,3e-05,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P2C,95.28883903533371,4.711160964666286,0.018241469247509915,4.020734386920444,0.3814619033674969,0.6323637097120591,1.013825613079556,79.86267691556847,7.576866764275267,12.560456320156263,5.03456,37.0,0.023165881188117153,86.97920792079222,9.306930693068642,3.713861386139138,0.2164999464356439,0.032410053564356084,0.009244172376238929,0.24891,-14.29033,-170.6767,49.909,53.307,1.729,1.897,0.16799999999999993,3.3980000000000032,Mar_2014,P2C,374.396,66.12128005657135,80.19794814632495,7.658372860752351,12.143678992922702,3.5660000000000034,4.237242550721449,0.4046285984232783,1.0462374492785507,0.6416088508552724,5.28348,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P3A,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29273,-170.6794,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Mar_2014,P3A,374.396,66.12128005657135,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,3e-05,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P3B,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29384,-170.6773,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Mar_2014,P3B,374.396,66.12128005657135,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,3e-05,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P3C,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29337,-170.6754,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Mar_2014,P3C,374.396,66.12128005657135,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,3e-05,1.8287280254850262,2014-04-11 00:00:00,2014-03-05 00:00:00
P1A,97.45631497456314,2.5436850254368535,0.018241469247509915,5.477781615115426,0.4008614060378185,1.3022069788467554,1.703068384884574,76.28319231170998,5.58236707406252,18.134440614227497,7.18085,37.0,0.03211774785801647,60.84822521419625,17.13586291309634,22.015911872707413,0.11404782851896803,0.07338217148103197,0.0412644236230155,0.18743,-14.29018,-170.6814,68.0968,72.9434,1.7818,1.9083,0.12650000000000006,4.846599999999995,Apr_2014,P1A,347.9800000000001,42.74997684164197,75.89057536496941,5.876251617634493,18.233173017396087,4.973099999999995,5.591822497444431,0.43297808506667707,1.7764475025555677,1.3434694174888906,7.36827,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P1B,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.28941,-170.6796,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Apr_2014,P1B,347.9800000000001,42.74997684164197,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,3e-05,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P1C,99.91769547325103,0.08230452674896552,0.018241469247509915,0.13844244766584216,0.019224434889436686,0.02220311744472117,0.04142755233415786,76.9680589680559,10.687960687961686,12.343980343982414,0.17987,37.0,2.0224719101120062e-05,84.16853932584497,13.483146067413376,2.348314606741649,0.00012625280898876745,2.3747191011232535e-05,3.5224719101124734e-06,0.00015,-14.28833,-170.6779,67.4657,67.5871,1.7614,1.744,0.0001,0.12140000000000839,Apr_2014,P1C,347.9800000000001,42.74997684164197,76.97398528933802,10.690261252059999,12.335753458601967,0.12150000000000839,0.13856856831786632,0.01924460830595841,0.04145143168213368,0.022206823376175265,0.18002,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
